epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,4647.63,0.45526,0.45843,1.04015,0.91523,0.94427,0.94457,0.81651,0.58033,0.43143,1.15075,0.001189,0.001189,0.001189
91,4699.84,0.371,0.35548,1.00745,0.91965,0.9545,0.94936,0.83606,0.55569,0.40729,1.1413,0.00109,0.00109,0.00109
92,4750.79,0.35476,0.31879,1.00009,0.93817,0.93794,0.95565,0.85256,0.53374,0.39055,1.11637,0.000991,0.000991,0.000991
93,4801.29,0.33637,0.31548,0.97827,0.89713,0.95659,0.94833,0.84143,0.53052,0.38922,1.10942,0.000892,0.000892,0.000892
94,4851.85,0.34517,0.30058,0.99987,0.91109,0.95704,0.94938,0.84417,0.52497,0.38755,1.0907,0.000793,0.000793,0.000793
95,4901.23,0.33077,0.29625,0.97969,0.93486,0.94268,0.94706,0.84753,0.52288,0.38507,1.11485,0.000694,0.000694,0.000694
96,4952.45,0.3257,0.29078,0.98067,0.92626,0.95721,0.9507,0.8536,0.50652,0.37575,1.10302,0.000595,0.000595,0.000595
97,5002.8,0.31467,0.27579,0.95989,0.92138,0.94541,0.94975,0.85861,0.49796,0.36927,1.105,0.000496,0.000496,0.000496
98,5052.66,0.31404,0.27244,0.96602,0.92526,0.93993,0.94903,0.85621,0.51055,0.37216,1.10583,0.000397,0.000397,0.000397
99,5103.06,0.30289,0.26423,0.95475,0.92109,0.95382,0.95189,0.85923,0.5003,0.3607,1.09357,0.000298,0.000298,0.000298
100,5153.94,0.29965,0.25775,0.95932,0.92696,0.94401,0.95144,0.85838,0.50623,0.36202,1.10098,0.000199,0.000199,0.000199
